grid_id,grid_lat,grid_lon,year,event_count,mean_mag,max_mag,mean_depth,event_occur
-1.0_126.0,-1.0,126.0,2015,1,4.84,4.84,10.0,1
-1.0_126.0,-1.0,126.0,2016,2,5.07,5.22,39.25,1
-1.0_126.0,-1.0,126.0,2018,1,4.61,4.61,83.3,1
-1.0_126.0,-1.0,126.0,2019,1,5.41,5.41,48.6,1
-1.0_126.0,-1.0,126.0,2021,4,5.5575,6.44,224.27499999999998,1
-1.0_126.0,-1.0,126.0,2022,2,4.76,4.89,10.7,1
-1.0_126.0,-1.0,126.0,2023,1,4.5,4.5,10.0,1
-1.0_127.0,-1.0,127.0,2015,1,4.67,4.67,123.9,1
-1.0_127.0,-1.0,127.0,2016,2,4.6,4.61,29.3,1
-1.0_127.0,-1.0,127.0,2017,1,4.55,4.55,10.0,1
-1.0_127.0,-1.0,127.0,2018,1,4.94,4.94,59.6,1
-1.0_127.0,-1.0,127.0,2019,32,4.8871875000000005,6.02,23.328125,1
-1.0_127.0,-1.0,127.0,2020,7,4.717142857142858,4.82,10.0,1
-1.0_127.0,-1.0,127.0,2021,4,4.8,5.04,200.225,1
-1.0_127.0,-1.0,127.0,2023,1,4.77,4.77,23.1,1
-1.0_127.0,-1.0,127.0,2024,3,4.823333333333333,5.29,18.5,1
-1.0_128.0,-1.0,128.0,2019,19,5.110526315789474,7.11,13.463157894736844,1
-1.0_128.0,-1.0,128.0,2020,3,5.126666666666666,5.42,76.13333333333334,1
-1.0_128.0,-1.0,128.0,2021,1,5.45,5.45,289.6,1
-1.0_128.0,-1.0,128.0,2022,3,4.73,5.03,10.799999999999999,1
-1.0_128.0,-1.0,128.0,2025,1,4.67,4.67,10.0,1
-1.0_129.0,-1.0,129.0,2016,1,5.43,5.43,21.7,1
-1.0_129.0,-1.0,129.0,2017,1,4.57,4.57,12.9,1
-1.0_129.0,-1.0,129.0,2020,1,5.76,5.76,57.9,1
-1.0_129.0,-1.0,129.0,2022,2,4.78,4.86,10.0,1
-1.0_129.0,-1.0,129.0,2023,1,4.72,4.72,10.0,1
-1.0_130.0,-1.0,130.0,2017,1,5.3,5.3,106.9,1
-1.0_130.0,-1.0,130.0,2018,1,4.68,4.68,19.6,1
-1.0_130.0,-1.0,130.0,2019,1,5.14,5.14,39.3,1
-1.0_130.0,-1.0,130.0,2021,2,5.215,5.6,94.45,1
-1.0_131.0,-1.0,131.0,2015,3,5.383333333333333,6.27,15.933333333333332,1
-1.0_131.0,-1.0,131.0,2016,1,4.58,4.58,22.2,1
-1.0_131.0,-1.0,131.0,2017,2,4.55,4.6,10.0,1
-1.0_131.0,-1.0,131.0,2018,2,4.63,4.7,11.05,1
