kecamatan,jumlah_penduduk,kepadatan_penduduk_km2,rasio_jenis_kelamin,laju_pertumbuhan,persentase_penduduk,provinsi,kabupaten,tahun,source_file
Cibadak,124800.0,2.0,103.5,0.75,4.45,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cicantayan,62600.0,2.0,103.3,0.94,2.23,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Caringin,52900.0,1.0,105.2,1.19,1.89,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Nagrak,92800.0,1.0,103.5,0.98,3.31,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Ciambar,44600.0,834.0,107.7,1.12,1.59,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cicurug,139000.0,3.0,104.3,0.53,4.96,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cidahu,77200.0,2.0,105.0,1.53,2.75,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Parakan Salak,47200.0,1.0,105.0,1.02,1.68,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Parung Kuda,79500.0,3.0,105.0,0.67,2.84,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Bojong Genteng,41600.0,2.0,105.9,0.99,1.49,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Kalapa Nunggal,54500.0,1.0,104.9,1.18,1.94,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cikidang,72000.0,464.0,107.4,1.62,2.57,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cisolok,79600.0,459.0,104.8,1.58,2.84,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cikakak,47100.0,417.0,106.1,1.44,1.68,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Kabandungan,47500.0,348.0,104.2,1.59,1.7,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Sukabumi,2800.0,673.0,102.9,1.02,100.0,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cipatujah,72000.0,292.0,102.0,,3.75,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Karangnunggal,90000.0,660.0,102.0,,4.68,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Cikalong,68900.0,494.0,102.0,,3.59,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Pancatengah,50100.0,248.0,102.0,,2.61,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Cikatomas,53400.0,402.0,103.0,,2.78,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Cibalong,33600.0,574.0,100.0,,1.75,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Parungponteng,37900.0,802.0,102.0,,1.97,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Bantarkalong,38800.0,648.0,103.0,,2.02,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Bojongasih,22500.0,582.0,105.0,,1.17,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Culamega,27500.0,402.0,103.0,,1.43,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Bojonggambir,44600.0,263.0,104.0,,2.32,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Sodonghilir,71800.0,771.0,104.0,,3.73,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Taraju,42700.0,764.0,101.0,,2.22,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Salawu,65099.99999999999,1289.0,101.0,,3.39,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Puspahiang,36300.0,1040.0,98.0,,1.89,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Tanjungjaya,47900.0,1305.0,102.0,,2.49,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Sukaraja,55500.0,1289.0,105.0,,2.89,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Salopa,52000.0,427.0,103.0,,2.71,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Jatiwaras,53800.0,733.0,104.0,,2.8,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Cineam,34300.0,436.0,97.0,,1.79,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Karangjaya,12800.0,267.0,103.0,,0.67,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Manonjaya,66100.0,1677.0,102.0,,3.44,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Gunungtanjung,32500.0,968.0,106.0,,1.69,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Singaparna,75700.0,3051.0,103.0,,3.94,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Sukarame,44600.0,2238.0,105.0,,2.32,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Mangunreja,42400.0,1429.0,101.0,,2.2,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Cigalontang,77300.0,645.0,104.0,,4.02,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Leuwisari,42100.0,790.0,103.0,,2.19,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Sariwangi,36500.0,735.0,106.0,,1.9,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Padakembang,42700.0,1132.0,101.0,,2.22,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Sukaratu,53400.0,934.0,105.0,,2.74,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Cisayong,62100.0,1046.0,102.0,,3.23,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Sukahening,32100.0,1129.0,98.0,,1.67,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Rajapolah,53100.0,2477.0,104.0,,2.76,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Jamanis,39200.0,1841.0,102.0,,2.04,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Ciawi,67800.0,1496.0,101.0,,3.53,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Kadipaten,41000.0,896.0,107.0,,2.13,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Pagerageung,60100.0,901.0,102.0,,3.13,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Sukaresik,42200.0,2373.0,102.0,,2.2,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Tasikmalaya,1922100.0,710.0,103.0,,100.0,Jawa Barat,Kabupaten Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Tasikmalaya\data_penduduk_kabupate_001.xlsx
Bandung Kulon,138680000.0,21467.0,102.2,0.65,5.35,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Babakan Ciparay,148721000.0,19963.0,104.1,1.3,5.74,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Bojongloa Kaler,126385000.0,41711.0,102.9,0.52,4.88,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Bojongloa Kidul,90030000.0,14382.0,102.4,0.9,3.47,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Astanaanyar,73853000.0,25555.0,99.4,0.12,2.85,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Regol,81706000.0,19001.0,98.4,0.36,3.15,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Lengkong,71906000.0,12187.0,97.8,0.29,2.77,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Bandung Kidul,63083000.0,10410.0,99.0,1.01,2.43,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Buahbatu,108064000.0,13627.0,99.1,1.31,4.17,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Rancasari,89756000.0,12245.0,98.4,1.43,3.46,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Gedebage,44381000.0,4633.0,100.2,2.05,1.71,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Cibiru,79452000.0,12572.0,102.8,1.72,3.07,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Panyileukan,42059000.0,8247.0,98.8,1.23,1.62,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Ujung Berung,94574000.0,14777.0,100.6,1.81,3.65,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Cinambo,26649000.0,7242.0,103.2,1.27,1.03,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Arcamanik,83843000.0,14283.0,99.6,1.89,3.23,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Antapani,82350000.0,21728.0,98.4,0.88,3.18,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Mandalajati,77170000.0,11570.0,101.0,1.7,2.98,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Kiaracondong,133063000.0,21742.0,100.4,0.51,5.13,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Batununggal,123327000.0,24518.0,100.6,0.53,4.76,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Sumur Bandung,40415000.0,11887.0,100.2,1.89,1.56,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Andir,99511000.0,26822.0,99.2,0.06,3.84,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Cicendo,97830000.0,14261.0,100.6,0.52,3.77,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Bandung Wetan,29409000.0,8675.0,98.6,0.62,1.13,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Cibeunying Kidul,115537000.0,22007.0,100.0,0.65,4.46,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Cibeunying Kaler,72440000.0,16098.0,98.2,0.76,2.8,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Coblong,117941000.0,16046.0,99.8,0.78,4.55,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Sukajadi,104604000.0,24327.0,99.8,0.54,4.04,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Sukasari,78790000.0,12566.0,99.8,0.45,3.04,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Cidadap,56234000.0,9204.0,102.4,1.02,2.17,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Bandung,2591763000.0,15491.0,100.4,0.89,100.0,Jawa Barat,Kota Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bandung\data_penduduk_kabupate_001.xlsx
Pondokgede,253935000.0,14569.0,100.6,0.29,9.6,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Jatisampurna,133237000.0,6599.0,101.2,1.95,5.04,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Pondokmelati,132448000.0,12019.0,101.2,0.27,5.01,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Jatiasih,270344000.0,11144.0,100.1,2.4,10.22,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Bantargebang,112370000.0,5840.0,102.3,1.26,4.25,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Mustikajaya,239726000.0,9682.0,102.7,3.14,9.07,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Bekasi Timur,261795000.0,17882.0,98.8,0.49,9.9,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Rawalumbu,226482000.0,13441.0,101.5,0.69,8.57,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Bekasi Selatan,214400000.0,13561.0,99.0,0.45,8.11,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Bekasi Barat,286309000.0,19215.0,99.6,0.44,10.83,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Medan Satria,163069000.0,12344.0,103.5,0.16,6.17,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Bekasi Utara,349943000.0,16816.0,102.2,1.01,13.24,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Bekasi,2644058000.0,12406.0,100.9,1.04,100.0,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_001.xlsx
Banjar,60400.0,2310.0,99.6,0.86,28.81,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_002.xlsx
Purwaharja,25500.0,1483.0,101.5,1.43,12.16,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_002.xlsx
Pataruman,63600.0,1175.0,100.4,0.98,30.32,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_002.xlsx
Langensari,60200.0,1868.0,102.0,1.51,28.71,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_002.xlsx
Banjar,209800.0,1617.0,100.8,1.15,100.0,Jawa Barat,Kota Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Bekasi\data_penduduk_kabupate_002.xlsx
Cimahi Selatan,252961000.0,14530.0,101.8,1.3,42.25,Jawa Barat,Kota Cimahi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Cimahi\data_penduduk_kabupate_001.xlsx
Cimahi Tengah,166928000.0,15329.0,101.6,0.84,27.88,Jawa Barat,Kota Cimahi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Cimahi\data_penduduk_kabupate_001.xlsx
Cimahi Utara,178809000.0,12655.0,101.4,2.06,29.87,Jawa Barat,Kota Cimahi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Cimahi\data_penduduk_kabupate_001.xlsx
Cimahi,598698000.0,14110.0,101.6,1.39,100.0,Jawa Barat,Kota Cimahi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Cimahi\data_penduduk_kabupate_001.xlsx
Sawangan,184900.0,7060.0,104.0,4.47,8.86,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Bojongsari,139300.0,7220.0,103.0,3.63,6.68,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Pancoran Mas,247900.0,13746.0,101.0,1.57,11.88,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Cipayung,176000.0,15371.0,102.0,3.45,8.44,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Sukmajaya,253800.0,14629.0,99.0,0.68,12.17,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Cilodong,172600.0,10658.0,103.0,3.48,8.27,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Cimanggis,252300.0,11689.0,103.0,0.12,12.09,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Tapos,267600.0,8047.0,102.0,2.17,12.83,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Beji,171800.0,11798.0,102.0,0.04,8.24,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Limo,118500.0,10006.0,102.0,3.19,5.68,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Cinere,101400.0,9607.0,100.0,-0.4,4.86,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Depok,2085900.0,10415.0,102.0,1.92,100.0,Jawa Barat,Kota Depok,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Depok\data_penduduk_kabupate_001.xlsx
Baros,41300.0,7405.0,103.2,2.45,11.3,Jawa Barat,Kota Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Sukabumi\data_penduduk_kabupate_001.xlsx
Lembursitu,44700.0,4178.0,97.9,2.04,12.22,Jawa Barat,Kota Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Sukabumi\data_penduduk_kabupate_001.xlsx
Cibeureum,49500.0,5421.0,102.0,2.6,13.53,Jawa Barat,Kota Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Sukabumi\data_penduduk_kabupate_001.xlsx
Citamiang,55100.0,13769.0,100.9,1.02,15.07,Jawa Barat,Kota Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Sukabumi\data_penduduk_kabupate_001.xlsx
Warudoyong,61300.0,8112.0,102.3,1.06,16.77,Jawa Barat,Kota Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Sukabumi\data_penduduk_kabupate_001.xlsx
Gunung Puyuh,50000.0,9745.0,102.6,0.95,13.68,Jawa Barat,Kota Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Sukabumi\data_penduduk_kabupate_001.xlsx
Cikole,63700.0,10270.0,98.5,0.79,17.43,Jawa Barat,Kota Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Sukabumi\data_penduduk_kabupate_001.xlsx
Sukabumi,365700.0,7570.0,101.0,1.46,100.0,Jawa Barat,Kota Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Sukabumi\data_penduduk_kabupate_001.xlsx
Kawalu,104900.0,2523.0,105.8,0.43,13.61,Jawa Barat,Kota Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Tasikmalaya\data_penduduk_kabupate_001.xlsx
Tamansari,85000.0,2312.0,104.7,0.55,11.03,Jawa Barat,Kota Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Tasikmalaya\data_penduduk_kabupate_001.xlsx
Cibeureum,74300.0,3993.0,102.7,0.43,9.64,Jawa Barat,Kota Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Tasikmalaya\data_penduduk_kabupate_001.xlsx
Purbaratu,47500.0,3910.0,104.3,0.34,6.17,Jawa Barat,Kota Tasikmalaya,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kota Tasikmalaya\data_penduduk_kabupate_001.xlsx
