grid_id,grid_lat,grid_lon,year,event_count,mean_mag,max_mag,mean_depth,event_occur,event_count_next,event_next
-10.0_124.0,-10.0,124.0,2019,8,4.7625,5.14,64.5,1,1,1
-10.0_124.0,-10.0,124.0,2020,1,5.28,5.28,95.8,1,2,1
-10.0_124.0,-10.0,124.0,2021,2,4.975,5.03,89.8,1,3,1
-10.0_124.0,-10.0,124.0,2022,3,4.703333333333333,4.78,50.53333333333333,1,1,1
-10.0_124.0,-10.0,124.0,2023,1,5.86,5.86,79.6,1,2,1
-10.0_124.0,-10.0,124.0,2024,2,4.645,4.66,395.95,1,1,1
-10.0_125.0,-10.0,125.0,2015,4,5.0,5.79,48.475,1,3,1
-10.0_125.0,-10.0,125.0,2016,3,5.113333333333333,5.37,15.066666666666668,1,1,1
-10.0_125.0,-10.0,125.0,2019,1,4.5,4.5,10.0,1,2,1
-10.0_125.0,-10.0,125.0,2020,2,5.245,5.99,10.0,1,2,1
-10.0_125.0,-10.0,125.0,2021,2,5.475,6.19,31.4,1,3,1
-10.0_126.0,-10.0,126.0,2015,2,4.779999999999999,4.92,78.3,1,1,1
-10.0_127.0,-10.0,127.0,2015,1,4.73,4.73,10.8,1,2,1
-10.0_127.0,-10.0,127.0,2018,1,4.83,4.83,39.4,1,1,1
-10.0_127.0,-10.0,127.0,2019,1,4.98,4.98,44.6,1,1,1
-10.0_130.0,-10.0,130.0,2020,1,5.37,5.37,10.0,1,2,1
-10.0_95.0,-10.0,95.0,2021,1,5.05,5.05,323.9,1,1,1
-10.0_97.0,-10.0,97.0,2020,1,5.68,5.68,302.8,1,1,1
-10.0_99.0,-10.0,99.0,2018,1,6.13,6.13,218.1,1,1,1
-10.0_99.0,-10.0,99.0,2019,1,6.29,6.29,10.0,1,1,1
-10.0_99.0,-10.0,99.0,2020,1,5.68,5.68,103.6,1,1,1
-11.0_100.0,-11.0,100.0,2020,1,6.13,6.13,10.0,1,1,1
-11.0_103.0,-11.0,103.0,2020,1,5.54,5.54,10.0,1,2,1
-11.0_107.0,-11.0,107.0,2020,2,4.91,4.97,10.0,1,1,1
-11.0_108.0,-11.0,108.0,2015,2,4.795,5.04,23.7,1,1,1
-11.0_108.0,-11.0,108.0,2019,5,4.808,4.89,19.64,1,2,1
-11.0_110.0,-11.0,110.0,2020,1,4.9,4.9,131.8,1,3,1
-11.0_110.0,-11.0,110.0,2021,3,5.226666666666667,5.48,74.8,1,2,1
-11.0_111.0,-11.0,111.0,2015,1,4.95,4.95,17.0,1,2,1
-11.0_111.0,-11.0,111.0,2016,2,4.725,4.87,24.5,1,1,1
-11.0_111.0,-11.0,111.0,2020,1,5.25,5.25,10.0,1,1,1
-11.0_111.0,-11.0,111.0,2021,1,5.37,5.37,10.0,1,1,1
-11.0_111.0,-11.0,111.0,2022,1,4.67,4.67,36.1,1,5,1
-11.0_111.0,-11.0,111.0,2023,5,4.774,5.08,18.46,1,1,1
-11.0_111.0,-11.0,111.0,2024,1,5.36,5.36,14.2,1,1,1
-11.0_113.0,-11.0,113.0,2019,6,4.556666666666667,4.73,12.633333333333333,1,1,1
-11.0_113.0,-11.0,113.0,2020,1,5.84,5.84,10.0,1,3,1
-11.0_113.0,-11.0,113.0,2021,3,4.91,5.27,106.16666666666669,1,8,1
-11.0_113.0,-11.0,113.0,2022,8,4.9075,5.96,15.175,1,9,1
-11.0_113.0,-11.0,113.0,2023,9,4.763333333333333,5.2,18.25555555555556,1,1,1
-11.0_113.0,-11.0,113.0,2024,1,4.72,4.72,17.0,1,1,1
-11.0_115.0,-11.0,115.0,2017,1,4.63,4.63,43.8,1,2,1
-11.0_115.0,-11.0,115.0,2020,6,4.915,5.81,101.63333333333334,1,2,1
-11.0_116.0,-11.0,116.0,2018,2,4.755000000000001,4.86,11.05,1,1,1
-11.0_116.0,-11.0,116.0,2019,1,4.64,4.64,18.7,1,2,1
-11.0_116.0,-11.0,116.0,2020,2,5.475,6.09,10.0,1,9,1
-11.0_116.0,-11.0,116.0,2023,1,5.24,5.24,36.9,1,2,1
-11.0_116.0,-11.0,116.0,2024,2,4.785,4.97,29.0,1,1,1
-11.0_117.0,-11.0,117.0,2017,1,4.86,4.86,10.0,1,2,1
-11.0_117.0,-11.0,117.0,2020,5,4.684,4.83,59.86,1,2,1
-11.0_117.0,-11.0,117.0,2021,2,5.175,5.56,12.2,1,3,1
-11.0_118.0,-11.0,118.0,2019,3,5.68,6.37,31.33333333333333,1,2,1
-11.0_118.0,-11.0,118.0,2022,4,4.6,4.77,14.35,1,5,1
-11.0_119.0,-11.0,119.0,2015,1,4.73,4.73,10.0,1,6,1
-11.0_119.0,-11.0,119.0,2016,6,4.858333333333333,5.37,26.683333333333334,1,1,1
-11.0_119.0,-11.0,119.0,2017,1,4.73,4.73,53.3,1,1,1
-11.0_119.0,-11.0,119.0,2018,1,4.51,4.51,12.8,1,9,1
-11.0_119.0,-11.0,119.0,2021,1,6.24,6.24,10.0,1,1,1
-11.0_119.0,-11.0,119.0,2022,1,4.83,4.83,38.6,1,1,1
-11.0_120.0,-11.0,120.0,2017,1,4.7,4.7,10.4,1,16,1
-11.0_120.0,-11.0,120.0,2018,16,5.085625,5.97,29.05625,1,1,1
-11.0_120.0,-11.0,120.0,2019,1,5.26,5.26,10.0,1,6,1
-11.0_120.0,-11.0,120.0,2020,6,5.3133333333333335,5.75,196.9666666666667,1,2,1
-11.0_120.0,-11.0,120.0,2023,1,4.95,4.95,14.2,1,1,1
-11.0_120.0,-11.0,120.0,2024,1,5.06,5.06,10.0,1,1,1
